"Term","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"habitat",2,1.13522803792616,0.567614018963081,3.02717700746119,0.0574138021183165
"site",3,0.793531637889582,0.264510545963194,1.41067735506876,0.250611719889055
"habitat:site",4,0.918027107334282,0.22950677683357,1.22399661508765,0.312530747080151
"Residuals",50,9.37530275837956,0.187506055167591,NA,NA
