"Assemblage","qTD","TD_obs","TD_asy","s.e.","qTD.LCL","qTD.UCL"
"Forest","Species richness",2521,4581.98293333333,125.847931004305,4335.32552103601,4828.64034563065
"Forest","Shannon diversity",1810.82334521561,2927.46299751651,51.2422832415301,2827.02996787751,3027.89602715551
"Forest","Simpson diversity",1158.52762039662,1467.72647809565,34.1683527447073,1400.75773730496,1534.69521888633
"Páramo","Species richness",901,1945.70170682731,95.2136020226404,1759.0864760246,2132.31693763001
"Páramo","Shannon diversity",693.767595235683,1316.32490775208,43.4557457381878,1231.1532111839,1401.49660432026
"Páramo","Simpson diversity",474.571118563823,661.004535298599,30.5840602643477,601.060878679475,720.948191917723
"Subpáramo","Species richness",1533,3059.82018348624,108.142081644775,2847.86559824929,3271.77476872319
"Subpáramo","Shannon diversity",1225.29544766243,2341.85986846016,58.3512235587921,2227.49357183108,2456.22616508923
"Subpáramo","Simpson diversity",846.717716907286,1247.07491576544,49.323144960003,1150.40332803959,1343.74650349129
