"","Order","Genus","n_OTUs","total_w_abund","mean_w_abund","median_beta_paramo","mean_beta_paramo","q90_beta_paramo","max_beta_paramo","w_median_beta_paramo","w_mean_beta_paramo","median_beta_subparamo","mean_beta_subparamo","q90_beta_subparamo","max_beta_subparamo","w_median_beta_subparamo","w_mean_beta_subparamo","perc_enriched_paramo","perc_enriched_subparamo","perc_enriched_paramo_w","perc_enriched_subparamo_w"
"11","Mortierellales","Podila",2,37231,18615.5,-31.1901589793599,-31.1901589793599,-11.4573958923696,-6.52420512062198,-6.52420512062198,-11.3260861758752,-51.1864060653581,-51.1864060653581,-43.9695778022979,-42.1653707365328,-42.1653707365328,-43.9215541337912,-99.9999999999972,-100,-99.8532514842748,-100
"12","Sebacinales","Serendipita",22,674146,30643,-21.3671192885588,-23.6081300240169,-14.0386335768256,2.50828741340342,-13.9465593741232,-18.3966098979233,7.42339611753657,11.840130421699,44.8921458850102,147.488866064605,-1.72073834938429,14.87017313158,-99.9999999474736,167371.137760903,-99.9999122825047,-82.1066016670741
"13","Helotiales","Leohumicola",9,594232,66025.7777777778,-21.7093210476036,-14.7103298942389,2.77984086360649,33.6665785122706,-14.4685481116017,-13.6196563855301,25.8434920415383,23.3837905706912,78.3223584908865,102.842211323561,-35.8641572999522,2.5810714611035,-99.9999999626955,16737322593057.3,-99.9999479537559,-100
"14","Atheliales","Athelopsis",5,88871,17774.2,-14.552741554683,-9.69441133504703,8.14521731968199,9.25678404189463,-14.552741554683,-5.37710524186052,10.5328256205439,30.9898012556819,131.139472284298,144.362731746418,-39.2811761976544,31.0068593375373,-99.9999521563124,3752636.28000681,-99.9999521563124,-100
"15","Helotiales","Meliniomyces",2,90033,45016.5,-6.00473946733112,-6.00473946733112,4.73201992107744,7.41620976817959,-19.4256887028418,-7.89356742778069,41.9369892116556,41.9369892116556,69.9552445494593,76.9598083839103,76.9598083839103,46.8660057026271,-99.7532967992678,1.63306323714806e+20,-99.9999996339583,2.64984279370101e+35
"16","Mycosphaerellales","Teratosphaeria",8,81647,10205.875,-21.3844825228971,-27.3827094946948,-17.7916270475877,-16.1347209477161,-19.8163667182969,-22.9102556052838,-11.2220210997559,32.1433142275236,113.035727575135,308.400205176354,29.3080943174699,14.338070216214,-99.9999999483777,-99.9986623633468,-99.9999997523369,534987502884752
"17","Agaricales","Coprinellus",1,24934,24934,-22.6441087263314,-22.6441087263314,-22.6441087263314,-22.6441087263314,-22.6441087263314,-22.6441087263314,-22.5650563788609,-22.5650563788609,-22.5650563788609,-22.5650563788609,-22.5650563788609,-22.5650563788609,-99.9999999853516,-99.9999999841467,-99.9999999853516,-99.9999999841467
"18","Chaetothyriales","Capronia",7,91622,13088.8571428571,-21.9774259487398,18.1878183794196,142.174460649608,164.233318637951,-24.0398921683313,17.0489704107842,-20.1692445758028,14.8842518485367,101.420325149465,135.103830236791,78.9646550912471,48.9167545367164,-99.9999999714685,-99.9999998259763,-99.9999999963725,1.96749651386878e+36
"19","Hypocreales","Trichoderma",1,42988,42988,-24.7340581385835,-24.7340581385835,-24.7340581385835,-24.7340581385835,-24.7340581385835,-24.7340581385835,38.082350408782,38.082350408782,38.082350408782,38.082350408782,38.082350408782,38.082350408782,-99.9999999981881,3459032483352611840,-99.9999999981881,3459032483352611840
"20","Helotiales","Xenochalara",3,37059,12353,-28.1939915268695,-29.5444107235019,-26.9311737104917,-26.6154692563973,-28.1939915268695,-28.7206671341753,-30.2690150801202,-33.1567900674831,-29.8271693983956,-29.7167079779645,-30.2690150801202,-31.698870430732,-99.999999999943,-99.9999999999929,-99.999999999943,-99.9999999999929
"21","Eurotiomycetidae_ord_Incertae_sedis","Calyptrozyma",4,23367,5841.75,-25.8648048000258,-19.8439231469393,-1.99183586508907,6.04894801909197,-30.9759446718734,-20.7634378908472,27.1705275923031,55.4280751424371,192.023190898437,234.183658581843,-39.3077111192158,33.9100395831905,-99.9999999994151,63097216897935,-99.9999999999965,-100
"22","Pleosporales","Camposporium",1,68308,68308,-31.0261379377095,-31.0261379377095,-31.0261379377095,-31.0261379377095,-31.0261379377095,-31.0261379377095,-26.8421427353907,-26.8421427353907,-26.8421427353907,-26.8421427353907,-26.8421427353907,-26.8421427353907,-99.9999999999966,-99.9999999997799,-99.9999999999966,-99.9999999997799
"23","Mycosphaerellales","Capnobotryella",2,37700,18850,-17.2113408409338,-17.2113408409338,-0.781409936935973,3.32607278906349,-37.7487544709311,-30.1700675101745,-49.614083424213,-49.614083424213,-45.1658959105959,-44.0538490321916,-44.0538490321916,-46.1056787632739,-99.9999966487282,-100,-100,-100
"24","Pezizales","Pseudoplectania",2,84310,42155,-36.2934862485223,-36.2934862485223,-34.1721398547284,-33.6418032562799,-38.9451692407646,-38.4693067846784,-23.6035476612537,-23.6035476612537,-11.0859130667877,-7.95650441817125,-7.95650441817125,-10.7644722069014,-100,-99.9999999943881,-100,-99.9649624253592
"25","Pezizomycotina_ord_Incertae_sedis","Obeliospora",1,41354,41354,-60.326671942349,-60.326671942349,-60.326671942349,-60.326671942349,-60.326671942349,-60.326671942349,5.75272380435141,5.75272380435141,5.75272380435141,5.75272380435141,5.75272380435141,5.75272380435141,-100,31404.7620739836,-100,31404.7620739836
"26","Hypocreales","Ilyonectria",4,38056,9514,-54.3760376201185,-46.7348554886769,-17.1658657883976,-1.76727753655721,-76.4200691779134,-65.6525169399166,-29.7391422722096,-30.5176570332645,-2.44801493887737,-2.18387608324663,-3.06433893534909,-10.2962952665618,-100,-99.9999999999878,-100,-95.3315306733581
"27","Helotiales","Oidiodendron",2,123380,61690,-87.1179551647539,-87.1179551647539,-72.8738367107083,-69.3128070971969,-104.923103232311,-91.9001483618905,-2.49887464566481,-2.49887464566481,-2.10898591592601,-2.01151373349131,-2.98623555783831,-2.62977240792454,-100,-91.7822574670403,-100,-94.9522902369619
