"order","term","estimate","se","z","p_value","pseudo_R2"
"helotiales","elevation",0.00100655121306039,0.000420115328088885,2.39589261748486,0.0165799468607593,0.21326682710865
"sebacinales","elevation",-0.00100406946949518,0.000470950706495469,-2.13200544270728,0.0330063991267736,0.226144498819154
"chaetothyriales","elevation",8.91969480799163e-05,0.000383288513042716,0.232714900250547,0.815982798117906,0.0238798938408397
"sclerococcales","elevation",0.000657316048435148,0.000477767294938594,1.37580796215788,0.168881095729013,0.13295465128663
"agaricales","elevation",-0.000731623774748922,0.000415767693512858,-1.75969366106194,0.0784597611797174,0.0928776127939544
"pleosporales","elevation",-0.000430376874897445,0.000403421892402628,-1.06681586448936,0.286054993269695,0.152753694103681
"hypocreales","elevation",-0.000217783891027244,0.000298334189819546,-0.729999773606155,0.465390322986135,0.239685298614595
"leotiales","elevation",-0.000235907715110997,0.000346301798966602,-0.681220010450329,0.495732288131218,0.296446489319957
