sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
S_12_2_P1;MA_2_II_B;2;MA_2_2;MA_2_2_b;MA;3380;3300;2;subparamo;above;S_S2_5;P1;S;E_12_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
T_T4_P1;;;;;;;;;;;;P1;T;;;;;;;;;;;;;;;;;;;;
E_5_12_P1;;;;;;;;;;;;P1;E;E_5_12;;;;;;;;;;;;;;;;;;;
S_12_3_P1;MA_2_III_B;3;MA_2_3;MA_2_3_b;MA;3380;3300;2;subparamo;above;S_S2_5;P1;S;E_12_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
E_6_12_P1;;;;;;;;;;;;P1;E;E_6_12;;;;;;;;;;;;;;;;;;;
P_PC1_2_P1;;;;;;;;;;;;P1;P;E_BC;;;;;;;;;;;;;;;;;;;
S_12_4_P1;MA_2_IV_B;4;MA_2_4;MA_2_4_b;MA;3380;3300;2;subparamo;above;S_S2_5;P1;S;E_12_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
S_12_5_P1;MA_2_V_B;5;MA_2_5;MA_2_5_b;MA;3380;3300;2;subparamo;above;S_S2_5;P1;S;E_12_6;MA_2;4,4;101,8;231,1;34,85;0,47;0,43;0,49;11,7;13,09;59,37;2,689;0,018;7,046;1,59;97,3;10,45;107,874;1,341
S_3_4_P1;BEL_3_I_A;1;BEL_3_1;BEL_3_1_a;BEL;2700;2700;3;forest;below;S_S2_5;P1;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
S_3_8_P1;BEL_3_V_A;5;BEL_3_5;BEL_3_5_a;BEL;2700;2700;3;forest;below;S_S2_5;P1;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
