sample;samplename_field;Individual;Individual_ID;replicate_ID;site;elevation;elevation_adj;altitudinal_level;habitat;treeline;Fieldcontrol;plate;sampletype;extract_blank;site_elevation;pH;C_oxid;OM;P_brayll;Ca;Mg;K;Al;CICe;Fe;Mn;Cu;Zn;B;S;N_total;N_NH4;N_NO3
S_3_10_P2;BEL_3_II_B;2;BEL_3_2;BEL_3_2_b;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_3_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
T_T15_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
S_4_1_P2;BEL_3_IV_B;4;BEL_3_4;BEL_3_4_b;BEL;2700;2700;3;forest;below;S_S2_3;P2;S;E_4_12;BEL_3;3,78;135,4;307,4;34,23;1,58;1,66;0,86;5,335;9,432;360,83;64,79;1,986;12,5;3,65;119,9;6,439;117,371;0
E_5_12_P2;;;;;;;;;;;;P2;E;E_5_12;;;;;;;;;;;;;;;;;;;
E_6_12_P2;;;;;;;;;;;;P2;E;E_6_12;;;;;;;;;;;;;;;;;;;
S_4_10_P2;DOM_3_III_B;3;DOM_3_3;DOM_3_3_b;DOM;3224;3300;3;forest;below;S_S1_7;P2;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
S_5_1_P2;DOM_3_V_B;5;DOM_3_5;DOM_3_5_b;DOM;3224;3300;3;forest;below;S_S1_7;P2;S;E_5_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
P_PC2_2_P2;;;;;;;;;;;;P2;P;E_BC;;;;;;;;;;;;;;;;;;;
S_5_6_P2;DOM_2_V_A;5;DOM_2_5;DOM_2_5_a;DOM;3534;3500;2;subparamo;above;S_S1_6;P2;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_7_P2;DOM_2_I_B;1;DOM_2_1;DOM_2_1_b;DOM;3534;3500;2;subparamo;above;S_S1_6;P2;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
T_T16_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
S_5_8_P2;DOM_2_II_B;2;DOM_2_2;DOM_2_2_b;DOM;3534;3500;2;subparamo;above;S_S1_6;P2;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_10_P2;DOM_2_IV_B;4;DOM_2_4;DOM_2_4_b;DOM;3534;3500;2;subparamo;above;S_S1_6;P2;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_11_P2;DOM_2_V_B;5;DOM_2_5;DOM_2_5_b;DOM;3534;3500;2;subparamo;above;S_S1_6;P2;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_6_1_P2;DOM_1_I_A;1;DOM_1_1;DOM_1_1_a;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_6_4_P2;DOM_1_IV_A;4;DOM_1_4;DOM_1_4_a;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_6_7_P2;DOM_1_II_B;2;DOM_1_2;DOM_1_2_b;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_6_5_P2;DOM_1_V_A;5;DOM_1_5;DOM_1_5_a;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
N_PCRB7_P2;;;;;;;;;;;;P2;N;;;;;;;;;;;;;;;;;;;;
T_T17_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
E_S2-6_P2;;;;;;;;;;;;P2;E;E_S2_6;;;;;;;;;;;;;;;;;;;
E_7_12_P2;;;;;;;;;;;;P2;E;E_7_12;;;;;;;;;;;;;;;;;;;
N_PCRB8_P2;;;;;;;;;;;;P2;N;;;;;;;;;;;;;;;;;;;;
S_6_8_P2;DOM_1_III_B;3;DOM_1_3;DOM_1_3_b;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
E_8_12_P2;;;;;;;;;;;;P2;E;E_8_12;;;;;;;;;;;;;;;;;;;
E_S1_8_P2;;;;;;;;;;;;P2;E;E_S1_8;;;;;;;;;;;;;;;;;;;
S_6_9_P2;DOM_1_IV_B;4;DOM_1_4;DOM_1_4_b;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_6_10_P2;DOM_1_V_B;5;DOM_1_5;DOM_1_5_b;DOM;3815;3800;1;paramo;above;S_S1_5;P2;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
T_T18_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
S_8_1_P2;NV_2_III_A;3;NV_2_3;NV_2_3_a;NV;3550;3500;2;subparamo;above;S_S1_2;P2;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
S_8_2_P2;NV_2_IV_A;4;NV_2_4;NV_2_4_a;NV;3550;3500;2;subparamo;above;S_S1_2;P2;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
S_8_5_P2;NV_2_II_B;2;NV_2_2;NV_2_2_b;NV;3550;3500;2;subparamo;above;S_S1_2;P2;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_9_12_P2;;;;;;;;;;;;P2;E;E_9_12;;;;;;;;;;;;;;;;;;;
S_8_11_P2;NV_3_III_A;3;NV_3_3;NV_3_3_a;NV;3333;3300;3;forest;below;S_S1_3;P2;S;E_8_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
E_10_12_P2;;;;;;;;;;;;P2;E;E_10_12;;;;;;;;;;;;;;;;;;;
T_T19_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
P_PC2_3_P2;;;;;;;;;;;;P2;P;E_BC;;;;;;;;;;;;;;;;;;;
S_9_1_P2;NV_3_IV_A;4;NV_3_4;NV_3_4_a;NV;3333;3300;3;forest;below;S_S1_3;P2;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_3_P2;NV_3_I_B;1;NV_3_1;NV_3_1_b;NV;3333;3300;3;forest;below;S_S1_3;P2;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_4_P2;NV_3_II_B;2;NV_3_2;NV_3_2_b;NV;3333;3300;3;forest;below;S_S1_3;P2;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_5_P2;NV_3_III_B;3;NV_3_3;NV_3_3_b;NV;3333;3300;3;forest;below;S_S1_3;P2;S;E_9_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_9_10_P2;NV_4_III_A;3;NV_4_3;NV_4_3_a;NV;3078;3000;4;forest;below;S_S1_4;P2;S;E_9_12;NV_4;4,64;98,13;222,8;8,54;1,35;0,75;0,29;5,678;8,059;27,12;33,801;0,049;1,957;1,2;81,65;7,805;48,129;0,345
T_T20_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
E_11_12_P2;;;;;;;;;;;;P2;E;E_11_12;;;;;;;;;;;;;;;;;;;
E_12_6_P2;;;;;;;;;;;;P2;E;E_12_6;;;;;;;;;;;;;;;;;;;
S_S1_2_P2;soil_NV_2;S;NV_2_S;NV_2_S;NV;3550;3500;2;subparamo;above;S_S1_2;P2;S;E_S1_8;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
S_S2_1_P2;soil_BEL_1;S;BEL_1_S;BEL_1_S;BEL;3200;3300;1;subparamo;above;S_S2_1;P2;S;E_S2_6;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
P_PC2_4_P2;;;;;;;;;;;;P2;P;E_BC;;;;;;;;;;;;;;;;;;;
N_PCRB9_P2;;;;;;;;;;;;P2;N;;;;;;;;;;;;;;;;;;;;
T_T21_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
S_7_4_P2;NV_1_V_A;5;NV_1_5;NV_1_5_a;NV;3830;3800;1;paramo;above;S_S1_1;P2;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_7_7_P2;NV_1_III_B;3;NV_1_3;NV_1_3_b;NV;3830;3800;1;paramo;above;S_S1_1;P2;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_7_9_P2;NV_1_V_B;5;NV_1_5;NV_1_5_b;NV;3830;3800;1;paramo;above;S_S1_1;P2;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
E_W4_P2;;;;;;;;;;;;P2;E;E_W4;;;;;;;;;;;;;;;;;;;
N_PCRB10_P2;;;;;;;;;;;;P2;N;;;;;;;;;;;;;;;;;;;;
E_BC_P2;;;;;;;;;;;;P2;E;E_BC;;;;;;;;;;;;;;;;;;;
T_T22_P2;;;;;;;;;;;;P2;T;;;;;;;;;;;;;;;;;;;;
P_PC2_5_P2;;;;;;;;;;;;P2;P;E_BC;;;;;;;;;;;;;;;;;;;
S_1_4_P3;BEL_2_II_A;2;BEL_2_2;BEL_2_2_a;BEL;2950;3000;2;forest;below;S_S2_2;P3;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_1_1_P3;BEL_2_I_A;1;BEL_2_1;BEL_2_1_a;BEL;2950;3000;2;forest;below;S_S2_2;P3;S;E_1_7;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
T_T23_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
S_2_1_P3;BEL_2_I_B;1;BEL_2_1;BEL_2_1_b;BEL;2950;3000;2;forest;below;S_S2_2;P3;S;E_2_12;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
S_2_3_P3;BEL_2_III_B;3;BEL_2_3;BEL_2_3_b;BEL;2950;3000;2;forest;below;S_S2_2;P3;S;E_2_12;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
E_1_7_P3;;;;;;;;;;;;P3;E;E_1_7;;;;;;;;;;;;;;;;;;;
S_2_4_P3;BEL_2_V_B;5;BEL_2_5;BEL_2_5_b;BEL;2950;3000;2;forest;below;S_S2_2;P3;S;E_2_12;BEL_2;4,87;81,73;185,6;11,32;0,24;0,36;0,37;2,741;3,721;88,63;7,344;2,237;2,264;0,75;96,41;4,472;91,911;0
N_PCRB11_P3;;;;;;;;;;;;P3;N;;;;;;;;;;;;;;;;;;;;
E_2_12_P3;;;;;;;;;;;;P3;E;E_2_12;;;;;;;;;;;;;;;;;;;
S_2_5_P3;BEL_1_I_A;1;BEL_1_1;BEL_1_1_a;BEL;3200;3300;1;subparamo;above;S_S2_1;P3;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
S_2_9_P3;BEL_1_V_A;5;BEL_1_5;BEL_1_5_a;BEL;3200;3300;1;subparamo;above;S_S2_1;P3;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
T_T24_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
S_2_10_P3;BEL_1_I_B;1;BEL_1_1;BEL_1_1_b;BEL;3200;3300;1;subparamo;above;S_S2_1;P3;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
E_BC_P3;;;;;;;;;;;;P3;E;E_BC;;;;;;;;;;;;;;;;;;;
N_PCRB12_P3;;;;;;;;;;;;P3;N;;;;;;;;;;;;;;;;;;;;
S_4_3_P3;DOM_3_I_A;1;DOM_3_1;DOM_3_1_a;DOM;3224;3300;3;forest;below;S_S1_7;P3;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
S_4_6_P3;DOM_3_IV_A;4;DOM_3_4;DOM_3_4_a;DOM;3224;3300;3;forest;below;S_S1_7;P3;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
E_3_12_P3;;;;;;;;;;;;P3;E;E_3_12;;;;;;;;;;;;;;;;;;;
E_4_12_P3;;;;;;;;;;;;P3;E;E_4_12;;;;;;;;;;;;;;;;;;;
S_4_8_P3;DOM_3_I_B;1;DOM_3_1;DOM_3_1_b;DOM;3224;3300;3;forest;below;S_S1_7;P3;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
T_T25_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
P_PC3_1_P3;;;;;;;;;;;;P3;P;E_BC;;;;;;;;;;;;;;;;;;;
E_5_12_P3;;;;;;;;;;;;P3;E;E_5_12;;;;;;;;;;;;;;;;;;;
P_PC3_2_P3;;;;;;;;;;;;P3;P;E_BC;;;;;;;;;;;;;;;;;;;
E_6_12_P3;;;;;;;;;;;;P3;E;E_6_12;;;;;;;;;;;;;;;;;;;
E_7_12_P3;;;;;;;;;;;;P3;E;E_7_12;;;;;;;;;;;;;;;;;;;
S_6_3_P3;DOM_1_III_A;3;DOM_1_3;DOM_1_3_a;DOM;3815;3800;1;paramo;above;S_S1_5;P3;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
S_6_11_P3;NV_1_I_A;1;NV_1_1;NV_1_1_a;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_6_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_6_6_P3;DOM_1_I_B;1;DOM_1_1;DOM_1_1_b;DOM;3815;3800;1;paramo;above;S_S1_5;P3;S;E_6_12;DOM_1;5,12;171,6;389,6;2,53;0,54;0,25;0,22;3,28;4,292;45,48;3,163;0,061;1,436;2,48;99,93;10,08;66,505;0
T_T26_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
E_8_12_P3;;;;;;;;;;;;P3;E;E_8_12;;;;;;;;;;;;;;;;;;;
E_9_12_P3;;;;;;;;;;;;P3;E;E_9_12;;;;;;;;;;;;;;;;;;;
S_7_1_P3;NV_1_II_A;2;NV_1_2;NV_1_2_a;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_7_2_P3;NV_1_III_A;3;NV_1_3;NV_1_3_a;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
P_PC3_3_P3;;;;;;;;;;;;P3;P;E_BC;;;;;;;;;;;;;;;;;;;
S_7_3_P3;NV_1_IV_A;4;NV_1_4;NV_1_4_a;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_7_6_P3;NV_1_II_B;2;NV_1_2;NV_1_2_b;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
S_7_5_P3;NV_1_I_B;1;NV_1_1;NV_1_1_b;NV;3830;3800;1;paramo;above;S_S1_1;P3;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
T_T27_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
S_7_11_P3;NV_2_II_A;2;NV_2_2;NV_2_2_a;NV;3550;3500;2;subparamo;above;S_S1_2;P3;S;E_7_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_S1_8_P3;;;;;;;;;;;;P3;E;E_S1_8;;;;;;;;;;;;;;;;;;;
N_PCRB13_P3;;;;;;;;;;;;P3;N;;;;;;;;;;;;;;;;;;;;
S_8_4_P3;NV_2_I_B;1;NV_2_1;NV_2_1_b;NV;3550;3500;2;subparamo;above;S_S1_2;P3;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
S_8_6_P3;NV_2_III_B;3;NV_2_3;NV_2_3_b;NV;3550;3500;2;subparamo;above;S_S1_2;P3;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
S_8_8_P3;NV_2_V_B;5;NV_2_5;NV_2_5_b;NV;3550;3500;2;subparamo;above;S_S1_2;P3;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_10_12_P3;;;;;;;;;;;;P3;E;E_10_12;;;;;;;;;;;;;;;;;;;
E_11_12_P3;;;;;;;;;;;;P3;E;E_11_12;;;;;;;;;;;;;;;;;;;
T_T28_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
E_12_6_P3;;;;;;;;;;;;P3;E;E_12_6;;;;;;;;;;;;;;;;;;;
N_PCRB14_P3;;;;;;;;;;;;P3;N;;;;;;;;;;;;;;;;;;;;
S_5_2_P3;DOM_2_I_A;1;DOM_2_1;DOM_2_1_a;DOM;3534;3500;2;subparamo;above;S_S1_6;P3;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_4_P3;DOM_2_III_A;3;DOM_2_3;DOM_2_3_a;DOM;3534;3500;2;subparamo;above;S_S1_6;P3;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_5_P3;DOM_2_IV_A;4;DOM_2_4;DOM_2_4_a;DOM;3534;3500;2;subparamo;above;S_S1_6;P3;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
S_5_9_P3;DOM_2_III_B;3;DOM_2_3;DOM_2_3_b;DOM;3534;3500;2;subparamo;above;S_S1_6;P3;S;E_5_12;DOM_2;5,24;108;245,2;1,47;1,38;0,61;0,65;1,517;4,158;7,493;23,82;0,031;21,96;2,56;112,4;8,598;269,017;2,563
T_T29_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
E_W4_P3;;;;;;;;;;;;P3;E;E_W4;;;;;;;;;;;;;;;;;;;
S_8_9_P3;NV_3_I_A;1;NV_3_1;NV_3_1_a;NV;3333;3300;3;forest;below;S_S1_3;P3;S;E_8_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
S_8_10_P3;NV_3_II_A;2;NV_3_2;NV_3_2_a;NV;3333;3300;3;forest;below;S_S1_3;P3;S;E_8_12;NV_3;4,79;101,2;229,8;20,39;4,31;1,25;0,63;2,398;8,588;82,87;77,96;0,197;6,441;2,52;89,27;8,494;115,616;0
E_S2_6_P3;;;;;;;;;;;;P3;E;E_S2_6;;;;;;;;;;;;;;;;;;;
S_3_2_P3;BEL_1_IV_B;4;BEL_1_4;BEL_1_4_b;BEL;3200;3300;1;subparamo;above;S_S2_1;P3;S;E_3_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
S_3_3_P3;BEL_1_V_B;5;BEL_1_5;BEL_1_5_b;BEL;3200;3300;1;subparamo;above;S_S2_1;P3;S;E_3_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
T_T30_P3;;;;;;;;;;;;P3;T;;;;;;;;;;;;;;;;;;;;
P_PC3_4_P3;;;;;;;;;;;;P3;P;E_BC;;;;;;;;;;;;;;;;;;;
E_1_7_P4;;;;;;;;;;;;P4;E;E_1_7;;;;;;;;;;;;;;;;;;;
E_2_12_P4;;;;;;;;;;;;P4;E;E_2_12;;;;;;;;;;;;;;;;;;;
S_2_7_P4;BEL_1_III_A;3;BEL_1_3;BEL_1_3_a;BEL;3200;3300;1;subparamo;above;S_S2_1;P4;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
T_T31_P4;;;;;;;;;;;;P4;T;;;;;;;;;;;;;;;;;;;;
E_3_12_P4;;;;;;;;;;;;P4;E;E_3_12;;;;;;;;;;;;;;;;;;;
S_2_8_P4;BEL_1_IV_A;4;BEL_1_4;BEL_1_4_a;BEL;3200;3300;1;subparamo;above;S_S2_1;P4;S;E_2_12;BEL_1;4,29;34,3;77,87;6,6;0,42;0,15;0,09;3,475;4,126;175,61;3,775;0,017;3,239;0,21;41,68;1,753;34,246;0
N_PCRB15_P4;;;;;;;;;;;;P4;N;;;;;;;;;;;;;;;;;;;;
P_PC3_5_P4;;;;;;;;;;;;P4;P;E_BC;;;;;;;;;;;;;;;;;;;
E_4_12_P4;;;;;;;;;;;;P4;E;E_4_12;;;;;;;;;;;;;;;;;;;
E_5_12_P4;;;;;;;;;;;;P4;E;E_5_12;;;;;;;;;;;;;;;;;;;
S_4_7_P4;DOM_3_V_A;5;DOM_3_5;DOM_3_5_a;DOM;3224;3300;3;forest;below;S_S1_7;P4;S;E_4_12;DOM_3;5,16;54,62;124;2,72;0,45;0,15;0,13;3,28;4,007;19,6;38,41;0,417;3,696;0,5;67,47;3,516;40,273;0,37
E_6_12_P4;;;;;;;;;;;;P4;E;E_6_12;;;;;;;;;;;;;;;;;;;
T_T32_P4;;;;;;;;;;;;P4;T;;;;;;;;;;;;;;;;;;;;
S_7_10_P4;NV_2_I_A;1;NV_2_1;NV_2_1_a;NV;3550;3500;2;subparamo;above;S_S1_2;P4;S;E_7_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_7_12_P4;;;;;;;;;;;;P4;E;E_7_12;;;;;;;;;;;;;;;;;;;
P_PC3_6_P4;;;;;;;;;;;;P4;P;E_BC;;;;;;;;;;;;;;;;;;;
S_7_8_P4;NV_1_IV_B;4;NV_1_4;NV_1_4_b;NV;3830;3800;1;paramo;above;S_S1_1;P4;S;E_7_12;NV_1;5,65;166,7;378,6;6,13;2,39;0,63;1;;;2,889;370,75;0,078;572,86;1,63;116,3;14,67;185,484;0,531
E_8_12_P4;;;;;;;;;;;;P4;E;E_8_12;;;;;;;;;;;;;;;;;;;
S_8_7_P4;NV_2_IV_B;4;NV_2_4;NV_2_4_b;NV;3550;3500;2;subparamo;above;S_S1_2;P4;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_9_12_P4;;;;;;;;;;;;P4;E;E_9_12;;;;;;;;;;;;;;;;;;;
E_10_12_P4;;;;;;;;;;;;P4;E;E_10_12;;;;;;;;;;;;;;;;;;;
T_T33_P4;;;;;;;;;;;;P4;T;;;;;;;;;;;;;;;;;;;;
N_PCRB16_P4;;;;;;;;;;;;P4;N;;;;;;;;;;;;;;;;;;;;
S_8_3_P4;NV_2_V_A;5;NV_2_5;NV_2_5_a;NV;3550;3500;2;subparamo;above;S_S1_2;P4;S;E_8_12;NV_2;5,8;80,65;183,1;12,02;13,55;0,3;0,33;;;32,28;212,85;0,875;69,83;1,34;82,26;4,657;40,878;0
E_11_12_P4;;;;;;;;;;;;P4;E;E_11_12;;;;;;;;;;;;;;;;;;;
E_12_6_P4;;;;;;;;;;;;P4;E;E_12_6;;;;;;;;;;;;;;;;;;;
